"","cty1","cty2","absimport"
"592",158,184,12467.5361328125
"593",158,193,3175064.75
"594",158,196,91428.5546875
"595",158,199,137142.84375
"596",158,213,1275843.75
"597",158,218,4155.84326171875
"598",158,223,66493.4921875
"599",158,233,24935.060546875
"600",158,248,4155.84326171875
"601",158,273,702337.6875
"602",158,278,12467.5361328125
"603",158,288,4155.84326171875
"604",158,293,20779.216796875
"605",158,298,207792.265625
"606",158,299,8311.6904296875
"607",158,343,8311.6904296875
"608",158,469,507012.78125
"609",158,518,735584.6875
"610",158,524,8311.6904296875
"611",158,534,739740.1875
"612",158,564,1616622.75
"613",158,566,935064.8125
"614",158,578,1807791.75
"615",158,612,54025.99609375
"616",158,636,54025.99609375
"617",158,664,54025.99609375
"618",158,686,49870.14453125
"619",172,111,943376.9375
"620",172,112,2638962.25
"621",172,122,70649.3671875
"622",172,128,1080518.875
"623",172,132,860259.5625
"624",172,134,980779.0625
"625",172,136,490389.78125
"626",172,138,1138701.625
"627",172,142,261818.21875
"628",172,144,997402.875
"629",172,146,124675.3046875
"630",172,156,20779.216796875
"631",172,158,62337.6796875
"632",172,174,124675.3046875
"633",172,178,4155.84326171875
"634",172,182,4155.84326171875
"635",172,184,58181.79296875
"636",172,186,87272.6953125
"637",172,193,303376.625
"638",172,196,20779.216796875
"639",172,199,37402.58984375
"640",172,213,660778.875
"641",172,223,569350.5625
"642",172,233,99740.2421875
"643",172,273,16623.373046875
"644",172,299,41558.453125
"645",172,436,54025.99609375
"646",172,469,66493.4921875
"647",172,524,16623.373046875
"648",172,534,37402.58984375
"649",172,564,62337.6796875
"650",172,612,4155.84326171875
"651",172,686,62337.6796875
"652",174,111,5772467.5
"653",174,112,2202596.25
"654",174,122,336623.3125
"655",174,128,191168.875
"656",174,132,623376.5
"657",174,134,1421299
"658",174,136,1092986.75
"659",174,138,357402.625
"660",174,142,157922.109375
"661",174,144,660778.875
"662",174,146,87272.6953125
"663",174,156,49870.14453125
"664",174,172,137142.84375
"665",174,176,78961.015625
"666",174,186,448831.3125
"667",174,193,311688.40625
"668",174,213,49870.14453125
"669",174,223,91428.5546875
"670",174,228,24935.060546875
"671",174,423,41558.453125
"672",174,469,45714.30078125
"673",174,534,99740.2421875
"674",176,111,307532.59375
"675",176,112,365714.21875
"676",176,122,12467.5361328125
"677",176,128,116363.6484375
"678",176,132,16623.373046875
"679",176,134,49870.14453125
"680",176,136,29090.912109375
"681",176,138,41558.453125
"682",176,142,24935.060546875
"683",176,144,45714.30078125
"684",176,146,8311.6904296875
"685",176,156,29090.912109375
"686",176,172,49870.14453125
"687",176,184,29090.912109375
"688",176,223,29090.912109375
"689",178,111,2568312.25
"690",178,112,9816105
"691",178,122,16623.373046875
"692",178,128,62337.6796875
"693",178,132,295064.90625
"694",178,134,220259.734375
"695",178,136,112207.828125
"696",178,138,336623.3125
"697",178,142,33246.76171875
"698",178,144,423896.21875
"699",178,146,78961.015625
"700",178,156,706493.375
"701",178,158,20779.216796875
"702",178,172,295064.90625
"703",178,174,191168.875
"704",178,176,4155.84326171875
"705",178,182,54025.99609375
"706",178,184,112207.828125
"707",178,186,62337.6796875
"708",178,193,103896.0859375
"709",178,196,78961.015625
"710",178,199,83116.8671875
"711",178,213,132987.046875
"712",178,223,58181.79296875
"713",178,228,4155.84326171875
"714",178,273,8311.6904296875
"715",178,288,4155.84326171875
"716",178,293,8311.6904296875
"717",178,298,20779.216796875
"718",178,299,8311.6904296875
"719",178,423,8311.6904296875
"720",178,436,24935.060546875
"721",178,469,24935.060546875
"722",178,524,49870.14453125
"723",178,534,561039.125
"724",178,564,24935.060546875
"725",178,566,49870.14453125
"726",178,578,12467.5361328125
"727",178,612,29090.912109375
"728",178,636,37402.58984375
"729",178,686,20779.216796875
"730",182,111,1782856.25
"731",182,112,1953246.625
"732",182,122,24935.060546875
"733",182,128,99740.2421875
"734",182,132,573506.375
"735",182,134,428052.03125
"736",182,136,137142.84375
"737",182,138,365714.21875
"738",182,142,91428.5546875
"739",182,144,249350.71875
"740",182,146,419740.3125
"741",182,156,253506.515625
"742",182,158,4155.84326171875
"743",182,172,4155.84326171875
"744",182,174,8311.6904296875
"745",182,176,24935.060546875
"746",182,178,8311.6904296875
"747",182,184,95584.3984375
"748",182,193,24935.060546875
"749",182,199,45714.30078125
"750",182,213,236883.171875
"751",182,223,203636.4375
"752",182,228,70649.3671875
"753",182,273,20779.216796875
"754",182,293,20779.216796875
"755",182,299,12467.5361328125
"756",182,469,49870.14453125
"757",182,524,4155.84326171875
"758",182,534,41558.453125
"759",182,564,95584.3984375
"760",182,612,4155.84326171875
"761",182,686,112207.828125
"762",184,111,2136104.5
"763",184,112,1151168.75
"764",184,122,120519.5
"765",184,128,207792.265625
"766",184,132,1275843.75
"767",184,134,669091
"768",184,136,174545.46875
"769",184,138,386493.40625
"770",184,142,282597.46875
"771",184,144,357402.625
"772",184,146,286753.3125
"773",184,156,149610.359375
"774",184,158,12467.5361328125
"775",184,172,49870.14453125
"776",184,178,29090.912109375
"777",184,182,91428.5546875
"778",184,186,16623.373046875
"779",184,193,278441.5625
"780",184,199,24935.060546875
"781",184,213,432207.75
"782",184,218,66493.4921875
"783",184,223,527791.9375
"784",184,228,498701.21875
"785",184,243,162077.90625
"786",184,273,12467.5361328125
"787",184,288,62337.6796875
"788",184,299,120519.5
"789",184,469,124675.3046875
"790",184,534,257662.265625
"791",184,566,95584.3984375
"792",184,612,20779.216796875
"793",184,636,29090.912109375
"794",184,686,216103.984375
"795",186,111,2909091.25
"796",186,112,1230130.375
"797",186,122,270130
"798",186,128,83116.8671875
"799",186,132,590129.5625
"800",186,134,2086233.625
"801",186,136,556882.875
"802",186,138,340779.125
"803",186,142,78961.015625
"804",186,144,224415.546875
"805",186,146,162077.90625
"806",186,156,145454.5625
"807",186,172,103896.0859375
"808",186,174,20779.216796875
"809",186,178,4155.84326171875
"810",186,184,4155.84326171875
"811",186,193,170389.640625
"812",186,196,4155.84326171875
"813",186,199,29090.912109375
"814",186,223,228571.5
"815",186,436,4155.84326171875
"816",186,469,29090.912109375
"817",186,524,8311.6904296875
"818",186,534,145454.5625
"819",186,564,108051.9375
"820",193,111,5362285
"821",193,112,32699420
"822",193,122,118857.140625
"823",193,128,45714.30078125
"824",193,132,1371429.125
"825",193,134,1170285.5
"826",193,136,1412571.125
"827",193,138,557714.0625
"828",193,142,347428.5
"829",193,144,1069714.25
"830",193,146,292571.375
"831",193,156,1449142.25
"832",193,158,978285.8125
"833",193,172,169142.84375
"834",193,182,22857.138671875
"835",193,184,45714.30078125
"836",193,186,9142.859375
"837",193,196,516571.625
"838",193,199,489142.6875
"839",193,213,13714.2900390625
"840",193,223,466285.84375
"841",193,228,41142.8515625
"842",193,293,4571.427734375
"843",193,298,45714.30078125
"844",193,343,4571.427734375
"845",193,369,9142.859375
"846",193,469,63999.9765625
"847",193,524,1074285.125
"848",193,534,2948572
"849",193,564,292571.375
"850",193,566,4571.427734375
"851",193,578,9142.859375
"852",193,636,123428.609375
"853",193,644,4571.427734375
"854",193,652,173714.328125
"855",193,664,105142.8359375
"856",196,111,1467428.75
"857",196,112,12146290
"858",196,122,4571.427734375
"859",196,128,9142.859375
"860",196,132,155428.53125
"861",196,134,27428.56640625
"862",196,136,32000.00390625
"863",196,138,73142.84375
"864",196,142,77714.3046875
"865",196,144,155428.53125
"866",196,146,50285.73046875
"867",196,156,452571.59375
"868",196,158,59428.59765625
"869",196,172,13714.2900390625
"870",196,182,9142.859375
"871",196,184,4571.427734375
"872",196,186,9142.859375
"873",196,193,2432000.25
"874",196,199,128000.015625
"875",196,223,9142.859375
"876",196,228,9142.859375
"877",196,469,9142.859375
"878",196,518,4571.427734375
"879",196,524,251428.671875
"880",196,534,283428.5
"881",196,578,4571.427734375
"882",196,664,13714.2900390625
"883",218,111,1074285.125
"884",218,112,178285.703125
"885",218,132,9142.859375
"886",218,134,18285.7109375
"887",218,136,9142.859375
"888",218,138,9142.859375
"889",218,144,32000.00390625
"890",218,146,50285.73046875
"891",218,184,45714.30078125
"892",218,213,447999.96875
"893",218,223,50285.73046875
"894",218,228,132571.453125
"895",218,293,249350.71875
"896",223,111,17307438
"897",223,112,6189712
"898",223,122,45714.30078125
"899",223,128,374857.0625
"900",223,132,2336000.75
"901",223,134,868571.6875
"902",223,136,649142.5625
"903",223,138,1147428
"904",223,142,649142.5625
"905",223,144,2180571.5
"906",223,146,763428.8125
"907",223,156,580571.125
"908",223,158,59428.59765625
"909",223,172,274285.8125
"910",223,174,22857.138671875
"911",223,176,9142.859375
"912",223,182,319999.90625
"913",223,184,342857.25
"914",223,186,13714.2900390625
"915",223,193,41142.8515625
"916",223,199,141714.3125
"917",223,213,5014857.5
"918",223,218,4571.427734375
"919",223,228,694857.3125
"920",223,273,45714.30078125
"921",223,293,22857.138671875
"922",223,298,370285.65625
"923",223,299,786285.4375
"924",223,369,777142.6875
"925",223,534,63999.9765625
"926",223,564,82285.7421875
"927",223,612,68571.453125
"928",223,664,9142.859375
"929",223,686,59428.59765625
"930",228,111,4924676
"931",228,112,1188570.875
"932",228,122,4155.84326171875
"933",228,128,49870.14453125
"934",228,132,211948
"935",228,134,211948
"936",228,136,116363.6484375
"937",228,138,70649.3671875
"938",228,142,41558.453125
"939",228,144,191168.875
"940",228,146,153766.21875
"941",228,156,91428.5546875
"942",228,172,12467.5361328125
"943",228,182,8311.6904296875
"944",228,184,270130
"945",228,193,29090.912109375
"946",228,199,16623.373046875
"947",228,213,556882.875
"948",228,218,4155.84326171875
"949",228,223,465454.59375
"950",228,248,70649.3671875
"951",228,273,12467.5361328125
"952",228,288,4155.84326171875
"953",228,293,743895.75
"954",228,298,4155.84326171875
"955",228,469,145454.5625
"956",228,534,70649.3671875
"957",233,111,10614024
"958",233,112,702337.6875
"959",233,122,37402.58984375
"960",233,128,24935.060546875
"961",233,132,241038.890625
"962",233,134,694026.1875
"963",233,136,141298.671875
"964",233,138,103896.0859375
"965",233,142,4155.84326171875
"966",233,144,328311.5625
"967",233,146,286753.3125
"968",233,156,419740.3125
"969",233,158,16623.373046875
"970",233,172,58181.79296875
"971",233,182,20779.216796875
"972",233,184,12467.5361328125
"973",233,193,4155.84326171875
"974",233,199,12467.5361328125
"975",233,213,95584.3984375
"976",233,223,45714.30078125
"977",233,228,45714.30078125
"978",233,238,20779.216796875
"979",233,248,137142.84375
"980",233,273,33246.76171875
"981",233,278,4155.84326171875
"982",233,283,20779.216796875
"983",233,293,311688.40625
"984",233,298,29090.912109375
"985",233,299,33246.76171875
"986",233,566,41558.453125
"987",238,111,1284155.5
"988",238,112,103896.0859375
"989",238,132,12467.5361328125
"990",238,134,78961.015625
"991",238,136,24935.060546875
"992",238,138,8311.6904296875
"993",238,144,8311.6904296875
"994",238,146,16623.373046875
"995",238,156,91428.5546875
"996",238,158,20779.216796875
"997",238,248,4155.84326171875
"998",238,253,4155.84326171875
"999",238,268,16623.373046875
"1000",238,273,24935.060546875
"1001",238,278,8311.6904296875
"1002",238,283,4155.84326171875
