node mean_tx_out median_tx_out mean_tx_in mean_tx_int count.mean_tx_all count.median_tx_all
398 0 0 0 0 0 0
399 0 0 0 0 0 0
400 0 0 0 0 0 0
401 0 0 3.975649939252069e-07 3.975649939252069e-07 3.975649939252069e-07 3.975649939252069e-07
402 0 0 3.817835783429447e-07 3.817835783429447e-07 3.817835783429447e-07 3.817835783429447e-07
403 0 0 0 0 0.007936507936507936 0.007936507936507936
404 0 0 0 0 8.802282255743269e-07 8.802282255743269e-07
405 0 0 0 0 0.005813953488372093 0.005813953488372093
406 0 0 0 0 0.000835421888053467 0.000835421888053467
407 0 0 3.717433424484801e-07 3.717433424484801e-07 3.717433424484801e-07 3.717433424484801e-07
408 0 0 0 0 0 0
409 0 0 0 0 0 0
410 0 0 0 0 0 0
411 0 0 0.011111111111111112 0.011111111111111112 0.011111111111111112 0.011111111111111112
412 0 0 0 0 0.009708737864077669 0.009708737864077669
413 0 0 0 0 1.0649695312217118e-06 1.0649695312217118e-06
414 0 0 0 0 0 0
415 0 0 1.6107650650829625e-06 1.6107650650829625e-06 2.4161456517029397e-06 4.974530404329831e-06
416 0 0 0 0 8.327088017320343e-05 8.327088017320343e-05
417 0 0 0 0 0.007246376811594203 0.007246376811594203
418 0 0 0 0 0.006666666666666667 0.006666666666666667
419 0 0 0 0 0 0
420 0 0 0 0 0.004032258064516129 0.004032258064516129
421 0 0 0 0 0 0
422 0 0 0 0 0 0
423 0 0 6.597639958210548e-07 6.597639958210548e-07 9.896456672652924e-07 8.25687467385345e-07
424 0 0 0 0 0.005291005291005291 0.005291005291005291
425 0 0 0.004651162790697674 0.004651162790697674 0.004651162790697674 0.004651162790697674
426 0 0 0 0 0.007936507936507936 0.007936507936507936
427 0 0 0 0 0.011764705882352941 0.011764705882352941
428 3.7469799341730567e-07 3.7469799341730567e-07 3.747676440606824e-07 3.747676440606824e-07 1.123808061075222e-06 0.0008517887563884157
429 0 0 0 0 0.0006277463904582549 0.0006277463904582549
430 0 0 0 0 0.005917159763313609 0.005917159763313609
431 0 0 0 0 0 0
432 0 0 0 0 0.009900990099009901 0.009900990099009901
433 0 0 0 0 1.0 1.0
434 9.908380508233864e-07 2.699186465199389e-06 9.90922162073247e-07 2.696377147664398e-06 2.311775258456474e-06 0.0016233766233766235
435 0 0 0 0 0 0
436 0 0 0 0 0 0
437 0 0 3.0244411135266316e-07 3.0244411135266316e-07 3.0244411135266316e-07 3.0244411135266316e-07
438 0 0 0 0 0.013333333333333334 0.013333333333333334
439 0 0 0 0 0 0
440 0 0 5.074854097944684e-05 5.074854097944684e-05 5.074854097944684e-05 5.074854097944684e-05
441 0 0 0 0 0.00017513134851138354 0.00017513134851138354
442 0 0 0 0 0 0
443 0 0 0 0 0 0
444 3.410369022390437e-07 3.410369022390437e-07 9.595093453011867e-07 8.480181815098116e-06 1.5991812192157616e-06 1.3058751322198572e-05
445 0 0 0 0 0.00847457627118644 0.00847457627118644
446 0 0 0 0 0 0
447 0 0 0 0 0 0
448 0 0 0 0 0 0
449 0 0 6.496702815042986e-07 5.661382520934377e-07 6.496702815042986e-07 5.661382520934377e-07
450 0 0 3.0678516755071928e-06 3.0678516755071928e-06 3.0678516755071928e-06 3.0678516755071928e-06
451 0 0 0 0 0 0
452 0 0 0 0 0.004545454545454545 0.004545454545454545
453 0 0 0 0 0 0
454 0 0 0 0 0.007142857142857143 0.007142857142857143
455 2.1742675436212425e-06 3.582611437128752e-06 2.174236027815726e-06 3.581918475535497e-06 5.072570365609132e-06 0.0051813471502590676
456 0 0 0 0 0 0
457 0 0 0 0 0.008403361344537815 0.008403361344537815
